Image,Blur,Brightness,Contrast,Sharpness,Noise,Quality,Status
alternaria leaf spot2.jpg,792.27,123.66,54.42,55.78,8.34,0.874,Good
pottasium_spider mite (10).jpg,346.52,132.9,54.03,52.15,5.4,0.874,Good
pottasium_spider mite (3).jpg,541.75,127.43,45.9,57.98,6.71,0.874,Good
IMG-20260325-WA0017.jpg,410.83,131.6,46.91,57.24,5.7,0.874,Good
IMG-20260325-WA0011.jpg,523.04,128.18,47.33,56.48,6.37,0.874,Good
IMG-20260324-WA0035.jpg,1749.47,110.97,63.9,97.65,12.11,0.873,Good
IMG-20260324-WA0029.jpg,519.51,116.82,49.77,64.68,6.76,0.873,Good
IMG-20260324-WA0016.jpg,664.47,108.61,56.45,64.26,7.56,0.873,Good
IMG-20260325-WA0005.jpg,458.12,126.32,48.65,55.48,6.23,0.873,Good
Leaf curl of papaya1144.jpg,489.35,110.52,54.71,92.34,7.22,0.873,Good
Nitrogen4.jpg,518.56,132.85,45.46,61.89,6.74,0.872,Good
minor_nitrogen.jpeg,420.57,114.01,52.11,57.89,6.16,0.871,Good
mosaic1.jpg,625.05,76.05,78.55,58.08,7.66,0.871,Good
Ricinus Communis (1).jpg,438.43,124.13,47.83,56.23,6.18,0.87,Good
Bacterial blight15.jpg,1325.08,117.13,57.62,128.0,11.41,0.87,Good
IMG_8851.jpg,2505.07,105.06,69.63,111.78,13.63,0.87,Good
magnesium4.jpg,359.39,127.2,46.93,54.92,5.81,0.87,Good
Bacterial blight12.jpg,1591.61,120.38,56.51,123.52,11.8,0.87,Good
IMG_20260228_090358(1).jpg,860.55,133.54,49.91,103.0,9.38,0.869,Good
anthrecnose1 (1).jpg,346.06,119.37,51.13,54.92,5.68,0.869,Good
spider_mite31.jpg,613.63,110.19,53.9,69.11,7.5,0.869,Good
IMG-20260325-WA0016.jpg,958.43,116.75,50.93,61.01,8.18,0.869,Good
IMG-20260325-WA0008.jpg,557.98,125.06,43.93,59.22,6.75,0.869,Good
castor_hea3.png,1153.81,126.79,45.79,71.71,8.72,0.869,Good
hand held leaf5.jpg,822.37,113.24,52.31,90.27,7.69,0.869,Good
general_disease.jpg,2144.09,150.83,73.22,133.67,15.67,0.869,Good
IMG_20260228_090358.jpg,860.42,133.54,49.91,102.99,9.38,0.869,Good
no(3).jpg,497.85,103.11,55.73,61.56,6.46,0.868,Good
WhatsApp Image 2026-03-31 at 11.17.19 AM (1).jpeg,390.78,119.58,44.51,60.74,5.94,0.868,Good
cumin_he9.jpeg,1123.04,103.92,65.66,117.22,11.68,0.868,Good
whitefly_pest1.jpg,1236.75,139.06,53.86,59.13,9.39,0.868,Good
IMG-20260324-WA0034.jpg,601.28,108.99,53.04,64.98,6.99,0.868,Good
download (7).jpg,1522.99,146.01,60.82,57.26,9.52,0.867,Good
spider_mite14.jpg,417.35,143.89,51.0,58.55,6.16,0.867,Good
spider_mite14.jpg,417.56,143.88,51.0,58.57,6.16,0.867,Good
insect13.png,974.4,124.43,49.1,94.62,10.02,0.867,Good
spider_mite2.jpg,417.4,143.88,50.99,58.53,6.16,0.867,Good
magnesium3.jpg,310.53,136.83,60.61,47.07,5.68,0.866,Good
Papaya leaf curl virus .jpg,1467.26,123.23,52.42,114.53,11.47,0.866,Good
blackspot13.png,875.53,122.98,48.38,105.65,9.36,0.866,Good
alternaria11.jpg,286.39,118.63,53.9,54.08,5.06,0.866,Good
IMG_8752.jpg,771.15,130.57,56.15,49.27,6.98,0.866,Good
IMG_20260228_090408.jpg,1035.77,134.46,51.18,114.04,10.28,0.866,Good
alternaria leaf (3).jpg,281.59,125.43,56.75,49.02,4.89,0.865,Good
download (12).jpg,1124.93,123.79,45.93,59.87,8.61,0.865,Good
WhatsApp Image 2026-03-31 at 11.17.19 AM.jpeg,658.63,122.69,45.72,82.58,8.1,0.865,Good
leafcurl1.jpg,808.31,118.2,55.27,54.0,7.71,0.864,Good
IMG_4955.jpg,1672.09,140.22,56.86,121.81,11.87,0.864,Good
hand held leaf.jpg,473.16,110.97,48.57,68.24,6.09,0.864,Good
IMG-20260325-WA0006.jpg,534.26,132.01,43.74,58.11,6.61,0.864,Good
download (9).jpg,481.13,128.74,46.42,54.23,6.46,0.863,Good
papaya_leaf112.jpg,843.36,96.46,62.56,75.64,8.9,0.863,Good
cumin_heal.jpg,582.74,127.75,40.02,66.53,7.3,0.863,Good
Bacterial blight_.jpg,492.56,151.62,55.64,58.05,6.49,0.863,Good
IMG-20260325-WA0010.jpg,1004.45,122.08,48.88,57.32,8.2,0.863,Good
magnessium3.jpg,861.98,139.36,48.36,73.02,8.33,0.862,Good
magne15.png,453.0,127.89,36.96,62.87,6.07,0.862,Good
IMG_4956.jpg,1176.6,140.29,53.29,104.0,10.42,0.862,Good
magnes15.png,471.92,109.82,49.45,71.05,6.65,0.862,Good
IMG_8819.jpg,527.87,141.96,46.91,68.02,6.74,0.862,Good
mosaic122.jpg,833.58,114.96,50.7,109.27,9.04,0.861,Good
leafcurl3.jpg,1191.43,96.32,63.94,73.18,9.84,0.861,Good
bcatrial leaf blight12.png,1269.9,124.26,47.23,82.08,10.2,0.861,Good
PHOTO By CARO.jpg,1229.65,116.81,53.44,104.56,10.96,0.861,Good
spider_mite (2).jpg,1197.16,136.99,49.23,65.12,9.86,0.86,Good
alternaria leaf spot22.jpg,359.04,126.4,42.71,54.97,5.58,0.86,Good
9241639358_70ecb9eb80_c.jpg,973.1,118.04,52.39,55.57,8.2,0.86,Good
spider_mite13.jpg,938.11,132.29,43.67,62.62,8.59,0.86,Good
blackspot1.jpg,1246.83,119.85,48.7,81.64,10.02,0.859,Good
papaya_mosaic.png,975.86,144.19,51.62,76.29,8.86,0.859,Good
mosaic6.png,973.34,144.2,51.61,76.3,8.86,0.859,Good
IMG-20260325-WA0007.jpg,550.44,131.27,46.82,54.28,6.75,0.859,Good
alternitia_blight12.png,366.92,130.3,37.77,64.58,6.46,0.859,Good
Black shooty Mood (1).jpg,563.22,143.72,46.85,63.65,6.71,0.859,Good
IMG_8845.jpg,629.9,117.62,44.12,65.66,7.07,0.859,Good
leaf curl13.png,593.67,109.53,49.22,70.98,7.32,0.858,Good
pest_disease1.jpg,895.66,107.06,53.86,76.0,8.78,0.858,Good
"_If I wasn_t singing, I_d probably be, probably an accountant__  ~Janet Jackson.jpg",337.17,114.28,49.42,55.02,5.52,0.858,Good
IMG-20260325-WA0004.jpg,674.71,120.38,43.0,62.17,7.52,0.858,Good
nitrogen_leaf_spot (2).jpg,410.45,148.23,47.88,61.72,6.26,0.857,Good
pottassium8.jpg,464.65,97.77,54.79,63.3,6.61,0.857,Good
IMG_8816.jpg,428.83,119.53,53.81,48.93,5.43,0.857,Good
athrecnose12.png,653.19,124.37,39.4,75.18,7.4,0.856,Good
magnesium3.jpg,1178.56,127.02,42.55,85.03,9.86,0.856,Good
insect16.png,443.86,100.14,53.63,64.05,6.91,0.856,Good
wilt6.jpg,3000.41,135.97,58.36,98.01,15.53,0.856,Good
leaf curl12.png,447.32,103.89,50.09,68.45,6.37,0.856,Good
download (3).jpg,3213.96,120.98,57.52,110.18,15.33,0.856,Good
cercospora21.png,700.59,130.91,39.79,68.22,8.05,0.855,Good
magne16.png,394.24,128.22,38.0,56.97,5.84,0.855,Good
WhatsApp Image 2026-03-31 at 11.04.52 AM.jpeg,304.92,133.97,38.02,58.6,5.18,0.855,Good
algal_spot6.jpg,4214.54,115.9,65.78,154.21,18.08,0.855,Good
magnessium4.jpg,2024.89,120.29,49.75,88.66,11.37,0.855,Good
IMG-20260324-WA0043.jpg,2293.42,125.65,49.22,90.45,12.89,0.855,Good
IMG_4959.jpg,1956.47,140.88,56.08,124.69,12.96,0.855,Good
early_nutient.jpg,342.52,130.21,36.22,75.71,6.47,0.855,Good
IMG_4958.jpg,981.58,146.25,52.11,106.35,9.79,0.853,Good
cimin_powdery.jpg,773.49,128.59,38.91,92.03,8.75,0.853,Good
magnesium_leaf_spot.jpg,2850.3,136.99,56.33,133.87,14.8,0.853,Good
Brinjal Plant !!!.jpg,1989.31,122.03,48.02,93.48,11.74,0.852,Good
IMG-20260324-WA0023.jpg,449.62,118.49,45.71,54.76,6.28,0.851,Good
Papaya.jpg,589.94,127.27,44.6,51.72,6.36,0.851,Good
IMG-20260324-WA0019.jpg,1349.46,107.56,53.76,76.31,10.29,0.851,Good
"Organic Castor Leaves, Ricinus Plant, Large Leaf (8-15 inch).jpg",2605.62,120.69,53.04,101.17,14.04,0.851,Good
cercospora15.png,508.99,110.95,44.48,68.56,6.62,0.851,Good
IMG-20260324-WA0036.jpg,671.79,104.37,50.26,68.7,7.64,0.851,Good
IMG_4941.jpg,267.12,142.7,48.4,62.24,5.04,0.851,Good
download (14).jpg,978.81,115.54,55.92,50.87,7.76,0.851,Good
green-papaya-leaves-525.jpg,2170.99,166.58,71.49,82.85,13.43,0.851,Good
download (1).jpg,609.99,130.75,36.96,69.36,7.42,0.851,Good
insect12.png,532.4,117.81,41.32,66.38,7.22,0.851,Good
IMG_4962.jpg,1760.54,141.53,53.5,121.83,12.27,0.851,Good
Leaf curl of papaya1.jpg,1817.89,101.86,60.86,100.66,12.34,0.85,Good
magnesium (2).jpeg,661.51,111.61,45.17,64.42,7.56,0.85,Good
Papaya Leaves.jpg,1076.62,120.85,43.6,86.79,9.59,0.85,Good
whitefly_pest.jpg,1254.04,152.59,54.9,70.41,9.79,0.85,Good
test1.jpg,378.9,120.56,36.74,67.22,6.31,0.849,Good
Cumin Sed Production GC and GC 5 (2).JPG,4733.48,133.04,65.43,189.53,21.38,0.849,Good
mosaic5.png,1272.76,115.98,48.16,92.96,10.56,0.849,Good
IMG_8846.jpg,482.23,129.65,43.45,51.61,6.03,0.848,Good
"Guava fruit plant,(Psidiumguajava) Small Guava plant in garden.jpg",1131.39,120.77,42.71,81.23,9.41,0.848,Good
wilt1.jpg,1374.61,128.02,41.73,107.4,11.18,0.848,Good
pottasium7.jpg,2292.89,123.04,49.44,121.95,13.58,0.848,Good
hand held leaf1.jpg,414.67,110.8,41.18,60.21,5.62,0.848,Good
pottasium_spider mite (4).jpg,397.87,108.74,52.76,52.02,5.44,0.848,Good
blackspot15.png,1094.79,105.69,51.79,86.14,9.61,0.847,Good
hand held leaf4.jpg,459.42,108.74,49.87,54.53,5.82,0.847,Good
IMG_4960.jpg,2130.98,143.4,55.22,135.32,13.47,0.847,Good
Leaf curl of papaya1122.jpg,2166.41,136.34,52.37,146.41,14.12,0.847,Good
test2.jpg,1114.31,98.34,57.2,82.33,10.2,0.846,Good
Papaya leaf.jpg,596.74,118.95,39.53,58.79,7.02,0.846,Good
cumin_alternitia.png,1108.34,141.78,47.48,91.79,10.23,0.846,Good
leaf curl18.png,338.36,105.81,43.45,67.46,5.65,0.846,Good
Cumin Sed Production GC and GC 5 (1).JPG,4598.04,130.36,62.02,186.67,21.12,0.846,Good
magnesium1.jpg,416.01,141.92,40.23,66.25,6.57,0.846,Good
Leaf curl of papaya1155.jpg,1241.13,148.57,53.06,104.9,10.81,0.846,Good
TOP 5 castor oil benefits.jpg,265.74,145.84,49.54,65.39,5.38,0.846,Good
magnes17.png,436.37,116.39,43.61,56.23,6.43,0.846,Good
GC 5.JPG,643.68,161.42,54.64,71.49,7.81,0.845,Good
leaf_curl.jpg,347.61,96.34,59.48,52.23,5.62,0.845,Good
IMG_4965.jpg,1159.62,148.19,50.64,101.05,9.91,0.845,Good
alternaria leaf spot4.jpg,947.9,120.91,40.31,73.84,8.96,0.845,Good
pest_damage11.jpg,425.09,148.23,43.46,59.79,6.31,0.845,Good
Nitrogen2.jpg,913.24,115.92,42.93,65.46,8.61,0.845,Good
IMG_8858.jpg,458.31,119.35,52.4,46.64,5.58,0.845,Good
algal_spot3.jpg,356.18,103.98,43.8,66.44,5.51,0.844,Good
Healthy papaya.jpg,1351.91,112.72,47.81,88.24,10.32,0.844,Good
rust16.png,1004.44,119.12,40.86,79.15,8.78,0.844,Good
WhatsApp Image 2026-03-31 at 12.44.35 PM.jpeg,704.46,102.86,48.26,60.47,7.56,0.844,Good
Healthy cumin.JPG,436.3,111.88,40.41,62.66,6.34,0.844,Good
powdety_mildew12.png,510.59,116.34,40.25,91.02,7.65,0.844,Good
wilt5.jpg,1836.55,140.06,50.06,109.27,12.49,0.844,Good
IMG_8740.jpg,1910.63,133.56,44.96,98.62,11.86,0.844,Good
8.0.jpg,584.97,132.84,35.86,87.14,7.76,0.843,Good
IMG_4964.jpg,1457.48,147.15,51.28,107.75,10.99,0.843,Good
algal_spot5.jpg,673.54,95.88,52.41,76.98,7.62,0.843,Good
mosaic2.jpg,487.53,97.36,50.62,58.6,6.19,0.843,Good
WhatsApp Image 2026-03-31 at 10.55.25 AM (1).jpeg,873.21,109.84,46.65,80.77,9.02,0.843,Good
cercospora14.png,700.06,128.9,32.53,73.26,7.67,0.842,Good
cercospera Leaf spot3.jpg,2137.63,114.21,53.57,84.1,14.0,0.842,Good
hand held leaf3.jpg,603.67,155.39,66.1,45.69,6.64,0.842,Good
Mamona uma planta vistosa mas perigosa.jpg,2584.94,138.26,48.73,87.4,12.77,0.842,Good
rust18.png,1116.61,107.78,48.5,80.6,9.61,0.842,Good
leaf curl(1).jpg,240.82,111.0,68.01,48.61,4.74,0.842,Good
Bacterial blight122.jpg,2361.44,136.16,50.3,119.31,14.13,0.842,Good
alternitia_blight15.png,416.9,112.25,40.58,91.51,7.03,0.842,Good
magnes13.png,511.75,138.95,36.5,70.03,6.66,0.841,Good
WhatsApp Image 2026-03-31 at 10.56.19 AM.jpeg,343.4,121.31,48.61,46.89,5.23,0.841,Good
Cumin seed production (2024-25)-SDAU-Jagudan (GUJ) (10).jpeg,1664.3,143.15,51.51,119.39,12.92,0.841,Good
download (8).jpg,651.34,109.11,44.34,85.75,8.04,0.841,Good
algal_spot4.jpg,463.58,105.11,42.75,65.88,6.06,0.841,Good
IMG_4957.jpg,1261.21,148.95,50.72,107.78,10.7,0.841,Good
mosaic11.jpg,318.06,120.9,31.68,64.46,5.71,0.84,Good
Cumin seed production (2024-25)-SDAU-Jagudan (GUJ) (10).jpg,1729.37,143.15,51.59,119.49,13.02,0.84,Good
insect17.png,1276.07,118.26,42.87,78.67,10.65,0.839,Good
leaf curl16.png,286.91,104.68,54.8,51.78,5.09,0.839,Good
download (11).jpg,360.03,128.45,37.54,52.25,5.74,0.839,Good
wilt10.jpg,5391.68,139.06,64.8,175.34,21.1,0.839,Good
little leaf11.png,328.0,119.61,40.68,53.14,5.39,0.839,Good
magnessium1.jpg,875.08,120.47,37.6,77.19,8.59,0.839,Good
early_stage_spider_mite.jpg,580.53,138.26,35.67,61.16,6.95,0.838,Good
PHYP62_15931.jpg,784.54,108.29,44.2,72.49,8.4,0.838,Good
