Capture,NDVI_Mean,NDVI_Std,NDVI_Min,NDVI_Max,NDVI_Median,NDVI_P25,NDVI_P75,NDRE_Mean,NDRE_Std,NDRE_Min,NDRE_Max,NDRE_Median,NDRE_P25,NDRE_P75,GNDVI_Mean,GNDVI_Std,GNDVI_Min,GNDVI_Max,GNDVI_Median,GNDVI_P25,GNDVI_P75,SAVI_Mean,SAVI_Std,SAVI_Min,SAVI_Max,SAVI_Median,SAVI_P25,SAVI_P75,MSAVI_Mean,MSAVI_Std,MSAVI_Min,MSAVI_Max,MSAVI_Median,MSAVI_P25,MSAVI_P75,OSAVI_Mean,OSAVI_Std,OSAVI_Min,OSAVI_Max,OSAVI_Median,OSAVI_P25,OSAVI_P75,CIGREEN_Mean,CIGREEN_Std,CIGREEN_Min,CIGREEN_Max,CIGREEN_Median,CIGREEN_P25,CIGREEN_P75,CIREDGE_Mean,CIREDGE_Std,CIREDGE_Min,CIREDGE_Max,CIREDGE_Median,CIREDGE_P25,CIREDGE_P75,Vegetation_Coverage,Healthy_Percentage,Stress_Percentage,Brightness,Contrast,Blur_Score,Canopy_Density,Disease_Hotspot
IMG_0000,0.49957048719599373,0.6108317773456364,0.36301747447452426,0.5884311577364141,0.48508994693451224,0.6064243977095561,0.4643138447969831,0.19113359796725005,0.4928034219618227,0.26973774029609743,0.3699449352828501,0.18118199635553664,0.24049106385755797,0.1901563608301065,0.5882970563202347,0.5110032880711349,0.29115965298395485,0.6862989010444469,0.5990405641478662,0.5804229243459383,0.6336670784079212,0.49957077917275405,0.6108319200525565,0.36302186665643754,0.5884339347856709,0.4850914902269791,0.6064263573534092,0.46431483271521945,0.5603642060711249,0.8025838671565532,0.5920041004613018,0.625,0.6031413612565446,0.7047713717693836,0.5773067331670823,0.4995705936666409,0.6108317354622324,0.36301898339789274,0.5884321211943346,0.4850903555414204,0.606425289089974,0.4643141269323735,0.5700031591007807,0.5285544496935013,0.2534724715545855,0.5029517827262174,0.5295627340965743,0.512855234447738,0.5618242626162239,0.12370974516757713,0.40428801870773823,0.2289134636461414,0.20676534780082417,0.11119585139640456,0.15375937313765525,0.11447362942297912,0.22252317040652247,0.21442105574799417,0.7052728030642664,0.22912507524876136,0.5950131257803071,0.0004280642047760977,0.14212533909858302,0.9425685355426008
IMG_0001,0.4996502302690635,0.6106709254130718,0.3392695692495278,0.6180943152057505,0.485286230454966,0.6065688032053068,0.46404589836942167,0.19071682620938774,0.49266664592928966,0.278963096740553,0.3812017172629698,0.18080461176083323,0.23981145501216589,0.1890056212055808,0.5885438319574303,0.507335001179453,0.2867959521223904,0.8405876177769782,0.5992784148499745,0.5809331932153813,0.632564635959128,0.49965049570117526,0.6106710666101491,0.33927361610741613,0.618091188073608,0.4852874909354053,0.6065706812192799,0.4640465165496006,0.5604827147274308,0.8022791685545357,0.5666691074174415,0.645833333333333,0.6031413612565446,0.7047713717693836,0.5760598503740648,0.4996502994768941,0.6106710492640712,0.3392708159139075,0.6180933780307813,0.4852865422289563,0.6065696658067108,0.4640460521322669,0.5690282582564568,0.525110657038756,0.2494747446047345,0.7092082686666564,0.529809389736976,0.5133787999258947,0.5606554238854995,0.12342340993994524,0.40430643447233583,0.23719610635538357,0.2147493196400458,0.11094446039862585,0.15327538645157257,0.11371656607325142,0.22304354501159532,0.21412499629925688,0.7049647509759355,0.22743582381383765,0.5871990578664363,0.0,0.1417581257430333,0.9427192865824083
IMG_0002,0.49950852902449694,0.6093170199245586,0.2805805419570584,0.5966747551278413,0.4851144579686679,0.6062204514902316,0.4634991310193939,0.19112786441713503,0.491919193807842,0.30325354594116494,0.37093721945046276,0.181211426972325,0.24059105825299149,0.18951156574628886,0.5887757058261579,0.5099177926842909,0.29849589696394085,0.710599483674561,0.6011995454876213,0.580454883941449,0.634151908974895,0.49950880923234753,0.6093170800230829,0.28058232108214654,0.5966771693620396,0.4851158614006348,0.6062220561832175,0.46349767607699,0.5606415509907373,0.8003648870664276,0.4982792707036684,0.625,0.6031413612565446,0.7047713717693836,0.5760598503740648,0.49950862556661735,0.6093171110726321,0.2805810655482248,0.5966755247390152,0.48511481980448584,0.6062212223813279,0.46349863357868804,0.569902148087683,0.5257891786156312,0.26020793242841833,0.5317653995398449,0.5318032691043129,0.5128881188250027,0.562338411275856,0.12369956973578006,0.4051452725497585,0.2591568809048592,0.20746409175801866,0.11121546278732647,0.15383058341839834,0.11404934389564192,0.22262336675905203,0.21268910797288093,0.7056581958896676,0.2269408644356261,0.5859932910220249,0.0005599694581146578,0.1419004209183088,0.9427277136591679
IMG_0003,0.4988328018449531,0.6045574235500668,0.34334340686887366,0.617023370147253,0.4848925595163805,0.6050869939951868,0.46225256456720787,0.19111407522910834,0.49098873150201894,0.29175960730140416,0.33269077838814454,0.1815807671984396,0.24039524887481,0.1886651165449461,0.5897295659683581,0.5106843374187812,0.2831755761335044,0.7846948234415843,0.6037581332946741,0.5786085408604429,0.6354784275979983,0.4988330957837299,0.6045575415575675,0.3433473477448796,0.6170260806359837,0.4848939375333777,0.6050890897265171,0.4622527461650565,0.5610769848140966,0.7922824554687088,0.5710624588123306,0.645833333333333,0.6031413612565446,0.7037773359840954,0.5760598503740648,0.4988329127626384,0.6045575452030527,0.34334479603748,0.6170241610471394,0.4848929323695644,0.6050879279065764,0.46225261277605445,0.5716350512435899,0.5286831507496814,0.24616306551808753,0.6276558747291942,0.5344624117868152,0.5109949575271873,0.563746218263524,0.12364841980880956,0.4049646306406598,0.24873760671486078,0.18121733206056018,0.11146156558658574,0.15369110855732998,0.1134927279618961,0.22135959986101797,0.21092755425289397,0.7069218648817998,0.22381615583625614,0.5740173363677767,0.0006803816679137181,0.13924730442446193,0.9428316476058676
IMG_0004,0.49826233089811733,0.5995207474116353,0.1455890310578818,0.5649766702657684,0.4843633945247096,0.6054137586047519,0.4614523031623806,0.19016652006934612,0.49061783841628537,0.29909645116663874,0.39727460453243424,0.18133991263647536,0.24002590301337995,0.18700392757468948,0.5920280241423346,0.5067457398492293,0.2826058387024739,0.7363740122300078,0.6074462454171781,0.5796561811939589,0.6361088614452254,0.4982626178405921,0.5995208865322583,0.1455884501542566,0.5649778500409557,0.48436460044772467,0.6054153484579998,0.4614514788923677,0.5612684153228077,0.7885592036930121,0.30248224353811226,0.6041666666666661,0.6020942408376964,0.7037773359840954,0.57356608478803,0.4982624161836249,0.5995208243829853,0.1455888041044715,0.5649771321619976,0.4843636976593598,0.605414524171401,0.46145200706981104,0.5727995692528515,0.5252409287467346,0.24564207209185174,0.5636877479082888,0.5383022917719376,0.512068813913853,0.5644157441476307,0.12300086861185974,0.40573181465219343,0.2553827062457401,0.22637130670803313,0.11130104623332054,0.15342807642735945,0.11240174049079936,0.2189855927341484,0.20577611984486482,0.708539466060525,0.2201743435733161,0.5601690900810348,0.00016437937948086956,0.13676861427450115,0.9435442037629707
IMG_0009,0.7174787304466814,0.62619888161744,0.26506112025669104,0.7885975100307756,0.6645175355873332,0.6880837872436452,0.7482307640503228,0.3500118913829386,0.4478419558043436,0.3378837223684805,0.5742411965348118,0.36523982645241776,0.33263062955531647,0.40407835893718014,0.38903855891375216,0.3457373242033709,0.29475695961785053,0.7631899712428383,0.37896429662152165,0.3762837516198915,0.39489970572356514,0.7174792508588325,0.6261997156888048,0.2650605094265863,0.7886003340284695,0.6645191597476163,0.6880853130696593,0.7482319887937526,0.7881556651421724,0.2942120497197459,0.47865563447316384,0.8125,0.7623036649214661,0.7733598409542743,0.8254364089775561,0.7174788763231748,0.6261992434571886,0.265060915485702,0.7885983638916318,0.6645179288154812,0.6880845679243969,0.7482310839749533,0.31262681791915553,0.2856988365720174,0.25677304369164,0.5984916522696583,0.3149610545359729,0.31465850811498997,0.3260346982547182,0.23833623637532805,0.4148565748862628,0.2908535454832841,0.37451292153542665,0.2454705631125151,0.22239962485289066,0.2718328027724655,0.5304815081167126,0.29423868312757195,0.392951243875007,0.5380055045849339,0.3299532441394562,0.6082449587371164,0.39877534345924165,0.8831857346444616
IMG_0010,0.8076958390133828,0.679535556458182,0.34564876995827154,0.8077939146775699,0.7787000555012719,0.7672623496140043,0.8562777733649053,0.29778651710968757,0.4960212282748355,0.2897457384277553,0.5196815567292621,0.2985095747046035,0.26810945357449983,0.3632244946070233,0.4227727091598775,0.3938827479813637,0.2635728644631903,0.7258923795945345,0.41882680652614496,0.3813602100711864,0.4682719849549031,0.8076962548600275,0.6795363098606306,0.34564807674625,0.8077954033160952,0.7787010921409794,0.7672638136164035,0.8562759932459303,0.8540125296128982,0.3027704798221269,0.5735520246027678,0.8125,0.8502617801047121,0.8359840954274353,0.9052369077306732,0.8076960024098231,0.6795358300154035,0.3456484001968789,0.8077944725249862,0.7787002511862869,0.7672631338526364,0.856277080248184,0.35742191447336663,0.32827994595479554,0.22830644848829262,0.550531165441469,0.3519059999366643,0.3193291894985336,0.3949636402937492,0.2008107470965686,0.4301172167602041,0.24691710154412805,0.3244678259557479,0.19393687882934937,0.1736952519957526,0.2389873508076389,0.6937692413358436,0.4350001480297243,0.2499823033906703,0.46197552283724574,0.26956905198815767,0.5753690250980389,0.5657518463946534,0.8991419363175173
IMG_0011,0.6814197021436865,0.5585242266040582,0.2624261778230754,0.8201490976914503,0.6374840276519309,0.6725596968777219,0.6892711120465556,0.3630245488828435,0.38372073983028554,0.3774988118657068,0.6960746461049081,0.37617683226331083,0.3565389468435557,0.407338446045313,0.41231634103093934,0.296718595819753,0.29863090941855575,0.7411082522119963,0.40617626096996323,0.40803213296601615,0.4054595805417305,0.6814203858227132,0.5585256906610487,0.26242554432534826,0.8201450268092549,0.6374859810681038,0.67256115694452,0.6892716243465498,0.7644782752327921,0.2704723603275516,0.4752873984037489,0.833333333333333,0.7392670157068064,0.7614314115308151,0.7780548628428927,0.681419905127451,0.5585247079128179,0.26242577614883444,0.8201477439370173,0.6374845232300317,0.6725604491667494,0.689271094223872,0.322860571965185,0.2491099485824036,0.2603319169820093,0.5697108149718412,0.34009394599397375,0.34407567322101434,0.33577496783579786,0.24413847542335546,0.3497368408166003,0.32768359446730067,0.5041483638280739,0.25425772308194317,0.24124908075229623,0.27451741432623394,0.45548615431854356,0.18774609941676285,0.44342983884287757,0.6756023663706272,0.4051741780861257,0.5831150675344714,0.29130576479066544,0.8836848048569925
IMG_0012,0.8145492186334775,0.6397262419105352,0.34821326956671106,0.8224515417128271,0.7764775114715996,0.7845045772267386,0.8536032674082106,0.30929218979816814,0.5096671022082417,0.22361079137662054,0.37155939573186103,0.31353937026104006,0.28040668748602593,0.37071525287133344,0.4043228795859954,0.38718345532088316,0.20539062752616521,0.635813088682907,0.39928541927222555,0.375561843130675,0.4406047726560739,0.8145496524762292,0.6397268610066225,0.34821280995814874,0.8224524179285959,0.776479490445819,0.7845063427699357,0.8536026732298636,0.8642419614176117,0.2620041486251017,0.5763344804861975,0.833333333333333,0.8481675392670158,0.8489065606361829,0.9027431421446384,0.8145493639336832,0.6397265097914226,0.3482131475763741,0.8224518525741584,0.7764780234398068,0.7845054677375553,0.8536020152968755,0.3368067838688607,0.31427740039018687,0.17604799235428592,0.4467458114558578,0.33369417786173916,0.3139953215099517,0.3686249275158867,0.21086215840642583,0.45215653416649604,0.1879706602771507,0.20790270478466938,0.20524198013866465,0.18274328161404063,0.2449013860675476,0.6907875918129883,0.42216597092696206,0.25263024049036653,0.4393350670847862,0.2223676156872893,0.4811864032675616,0.5514947878654347,0.8932130196463248
IMG_0013,0.9999999999999999,0.6050939386057512,0.3185889942499194,0.9323804499374915,1.0,1.0,1.0,0.22601698988504287,0.6206266869303703,0.16971541954101266,0.3962181275738841,0.21040424437704242,0.18298180016338134,0.30166802601905063,0.40742116887326246,0.49406381892462703,0.3048987775321881,0.6734408571454735,0.3995556268899568,0.3374116680839092,0.5009426610337143,1.0,0.6050948139400298,0.31858849133440037,0.9323874952814011,1.0,1.0,1.0,1.0,0.1793854137151527,0.5433843450245295,0.9166666666666661,1.0000000000000002,0.9999999999999999,1.0,1.0,0.6050943449954782,0.31858871055246585,0.9323829603128693,1.0,0.9999999999999999,1.0,0.37114236722911736,0.4110916843041625,0.26610107324129206,0.48818342808767723,0.333944750187368,0.2793018635708574,0.42662330514794744,0.15648535652186946,0.5013241981095966,0.14110415672751042,0.22559915689118543,0.13093527363581672,0.11388067005442037,0.1921328241204768,1.0,0.9999999999999999,0.0,0.3129425216816486,0.13319433944097941,0.4656986669473045,1.0,0.9082038528594945
